instance_id,repo,analysis_time,ast_ged,dfg_ged,pdg_ged,cfg_ged,cpg_ged,callgraph_ged,loc_added,loc_deleted,token_distance,cyclomatic_delta,halstead_delta,scope_changes,type_changes,exception_changes
mock-test-1,test/repo,0.011036157608032227,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-2,test/repo,0.008932113647460938,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-3,test/repo,0.00844573974609375,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-4,test/repo,0.008450984954833984,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-5,test/repo,0.008533954620361328,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-6,test/repo,0.008001089096069336,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-7,test/repo,0.008074045181274414,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-8,test/repo,0.008096933364868164,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-9,test/repo,0.009881258010864258,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-10,test/repo,0.008229732513427734,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
