instance_id,repo_name,num_changed_files,scope_size,primary_files,secondary_files,direct_imports,num_files_analyzed,num_context_files,dfg_ged_sum,dfg_ged_avg,dfg_ged_max,ast_ged_sum,ast_ged_avg,ast_ged_max,cfg_ged_sum,cfg_ged_avg,cfg_ged_max,analysis_time,has_errors
astropy__astropy-12907,astropy_astropy,1,59,54,5,0,59,58,817.5,14.094827586206897,92.0,2,0.034482758620689655,2,154.0,2.6551724137931036,30.5,1013.1347901821136,False
astropy__astropy-13033,astropy_astropy,1,48,42,5,1,48,47,914.5,19.880434782608695,124.5,63,1.3695652173913044,63,0.0,0.0,0.0,56.605178117752075,False
astropy__astropy-13236,astropy_astropy,1,67,50,5,12,67,66,1852.0,29.396825396825395,1017.5,49,0.7777777777777778,49,60.0,0.9523809523809523,45.0,689.78147315979,False
astropy__astropy-13398,astropy_astropy,4,40,28,5,7,40,37,409.5,10.2375,80.5,35,0.875,17,14.0,0.35,11.0,134.18995308876038,False
astropy__astropy-13453,astropy_astropy,1,43,36,5,2,43,42,714.0,17.414634146341463,113.0,17,0.4146341463414634,17,195.0,4.7560975609756095,53.0,187.33319807052612,False
astropy__astropy-13579,astropy_astropy,1,26,19,5,2,26,25,208.0,8.666666666666666,64.0,28,1.1666666666666667,28,56.5,2.3541666666666665,27.5,55.38050079345703,False
astropy__astropy-13977,astropy_astropy,1,77,66,5,6,77,76,1594.0,20.973684210526315,740.5,448,5.894736842105263,448,296.5,3.901315789473684,57.0,650.7402577400208,False
astropy__astropy-14096,astropy_astropy,1,100,108,5,7,100,99,1770.0,17.87878787878788,389.5,18,0.18181818181818182,18,118.5,1.196969696969697,61.5,712.5956740379333,False
astropy__astropy-14182,astropy_astropy,1,41,36,5,0,41,40,682.0,17.05,113.0,57,1.425,57,177.5,4.4375,52.0,192.1512987613678,False
astropy__astropy-14309,astropy_astropy,1,74,62,5,7,74,73,984.5,13.486301369863014,126.5,3,0.0410958904109589,3,68.5,0.9383561643835616,24.5,1209.7864530086517,False
astropy__astropy-14365,astropy_astropy,1,43,36,5,2,43,42,668.0,15.904761904761905,113.0,9,0.21428571428571427,9,177.5,4.226190476190476,52.5,190.9649143218994,False
astropy__astropy-14369,astropy_astropy,2,28,17,5,6,28,26,462.0,16.5,86.5,37,1.3214285714285714,37,34.5,1.2321428571428572,13.0,57.495030879974365,False
astropy__astropy-14508,astropy_astropy,1,68,62,5,1,68,67,1226.5,18.30597014925373,359.0,112,1.671641791044776,112,56.5,0.8432835820895522,24.5,1216.8820509910583,False
astropy__astropy-14539,astropy_astropy,1,70,62,5,3,70,69,1131.0,16.391304347826086,169.5,16,0.2318840579710145,16,69.5,1.0072463768115942,24.5,1216.6915218830109,False
astropy__astropy-14598,astropy_astropy,1,68,62,5,1,68,67,867.5,12.947761194029852,81.0,7,0.1044776119402985,7,56.5,0.8432835820895522,24.5,1225.5384249687195,False
astropy__astropy-14995,astropy_astropy,1,18,8,5,5,18,17,98.0,6.125,98.0,3,0.1875,3,11.0,0.6875,11.0,79.1338472366333,False
astropy__astropy-7166,astropy_astropy,1,58,53,5,0,58,57,1063.5,20.852941176470587,207.5,15,0.29411764705882354,15,13.5,0.2647058823529412,13.5,47.60838603973389,False
astropy__astropy-7336,astropy_astropy,1,56,51,5,0,56,55,1073.5,19.51818181818182,132.5,6,0.10909090909090909,6,169.5,3.081818181818182,57.5,275.01484298706055,False
astropy__astropy-7606,astropy_astropy,1,59,53,5,1,59,58,1371.5,23.646551724137932,246.5,31,0.5344827586206896,31,172.5,2.9741379310344827,60.5,277.0225532054901,False
astropy__astropy-7671,astropy_astropy,1,60,55,5,0,60,59,983.5,18.556603773584907,246.5,30,0.5660377358490566,30,14.5,0.27358490566037735,13.5,48.31623196601868,False
astropy__astropy-8707,astropy_astropy,2,57,49,5,3,57,55,1864.0,32.70175438596491,973.0,84,1.4736842105263157,67,72.0,1.263157894736842,24.5,1024.4867379665375,False
astropy__astropy-8872,astropy_astropy,1,71,59,5,7,71,70,1554.0,22.2,506.0,56,0.8,56,182.0,2.6,57.5,327.1411409378052,False
django__django-10097,django_django,1,100,91,5,4,100,99,2039.0,21.69148936170213,115.5,0,0.0,0,0.0,0.0,0.0,53.62963080406189,False
django__django-10554,django_django,2,50,37,5,8,50,48,1596.5,31.93,570.0,69,1.38,41,39.5,0.79,21.0,337.06627082824707,False
django__django-10880,django_django,1,43,37,5,1,43,42,868.0,20.186046511627907,93.5,0,0.0,0,39.5,0.9186046511627907,21.0,326.92492389678955,False
django__django-10914,django_django,1,100,146,5,0,100,99,74.5,1.4326923076923077,74.5,0,0.0,0,69.0,1.3269230769230769,69.0,7.31158709526062,False
django__django-10973,django_django,1,60,54,5,1,60,59,967.0,18.245283018867923,96.0,154,2.9056603773584904,154,17.0,0.32075471698113206,15.0,58.318615198135376,False
django__django-10999,django_django,1,50,45,5,0,50,49,960.0,19.591836734693878,86.0,0,0.0,0,21.0,0.42857142857142855,10.5,31.047574758529663,False
django__django-11066,django_django,1,20,13,5,2,20,19,269.5,14.18421052631579,72.5,3,0.15789473684210525,3,0.0,0.0,0.0,12.304884910583496,False
django__django-11087,django_django,1,43,37,5,1,43,42,871.0,20.25581395348837,144.5,131,3.046511627906977,131,40.5,0.9418604651162791,21.0,337.1588809490204,False
django__django-11095,django_django,1,60,30,5,25,60,59,1598.0,28.535714285714285,891.0,19,0.3392857142857143,19,60.5,1.0803571428571428,21.0,205.39271688461304,False
django__django-11099,django_django,1,44,36,5,3,44,43,576.5,14.060975609756097,98.5,0,0.0,0,0.0,0.0,0.0,19.009319305419922,False
django__django-11119,django_django,1,34,26,5,3,34,33,483.5,15.109375,94.5,5,0.15625,5,63.0,1.96875,26.0,40.244138956069946,False
django__django-11133,django_django,1,17,5,5,7,17,16,312.0,20.8,86.0,5,0.3333333333333333,5,10.5,0.7,10.5,17.637173891067505,False
django__django-11138,django_django,4,70,54,5,11,70,66,1697.5,27.379032258064516,229.5,169,2.725806451612903,68,16.0,0.25806451612903225,16.0,87.30381107330322,False
django__django-11141,django_django,1,26,20,5,1,26,25,517.0,19.884615384615383,106.0,69,2.6538461538461537,69,0.0,0.0,0.0,65.81026887893677,False
django__django-11149,django_django,1,60,30,5,25,60,59,1087.0,19.410714285714285,380.0,184,3.2857142857142856,184,60.5,1.0803571428571428,21.0,203.86400485038757,False
django__django-11163,django_django,1,20,9,5,6,20,19,246.0,12.3,86.0,5,0.25,5,49.5,2.475,21.0,119.16514420509338,False
